artefact_id,typology,dataset,source_csv,length_mm,width_mm,thickness_mm,volume_mm3,surface_area_mm2,elongation,flatness,compactness,circularity,rectangularity,diameter_mm,curvature,edge_length_mean,edge_length_std,edge_length_skewness,edge_length_kurtosis,edge_angle_mean_deg,edge_angle_std_deg,edge_angle_skewness,edge_angle_kurtosis,convexity,solidity
RF.b_2282,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,39.54,15.68,4.66,796.86,488.02,2.521,3.365,0.007896,0.1179,14,0.38,62.9,4.0,6.0,5.832,48.521,4.0078,6.0301,5.8319,48.5209,0,0.8979
RF.b_2291,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,20.56,9.12,5.04,244.1,131.73,2.253,1.81,0.015168,0.2452,8,0.39,68.5,4.4,7.5,5.487,38.502,4.4179,7.4929,5.4865,38.5016,0,0.9356
RF.b_2296,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,35.26,16.56,6.68,800.3,591.1,2.129,2.48,0.013489,0.1893,6,0.37,73.8,3.3,5.7,7.835,87.549,3.2672,5.7431,7.8347,87.5486,0,0.963
RF.b_2304,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,33.45,15.96,7.46,678.3,574.47,2.095,2.139,0.015352,0.2231,26,0.43,66.8,4.1,6.1,4.727,34.661,4.1413,6.0636,4.7274,34.6607,0,0.9399
RF.b_2357,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,24.08,9.84,9.56,263.48,120.57,2.447,1.029,0.008631,0.3971,8,0.36,70.9,4.8,7.5,4.543,27.031,4.8313,7.5494,4.5432,27.0313,0,0.8851
RF.b_24,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,62.72,58.67,25.02,2699.74,4288.85,1.069,2.345,0.017382,0.3989,35,0.16,64.7,3.8,4.3,4.103,32.599,3.8223,4.2695,4.1032,32.5992,0,0.9282
RF.b_2416,Flake,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,30.69,20.75,8.8,585.65,461.03,1.479,2.357,0.015948,0.2868,12,0.32,68.1,4.4,5.9,4.925,36.285,4.3601,5.9256,4.9255,36.2852,0,0.9052
RF.b_2426,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.08,18.46,9.82,1086.75,1011.92,2.604,1.879,0.009107,0.2043,13,0.37,67.6,3.9,5.2,4.6,31.311,3.8810,5.1573,4.5997,31.3113,0,0.8866
RF.b_2427,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,48.46,35.66,30.55,1488.36,1517.86,1.359,1.167,0.013335,0.6304,20,0.17,66.8,3.3,4.9,6.399,66.826,3.2783,4.8923,6.3992,66.8257,0,0.9064
RF.b_2428,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,22.93,7.88,6.42,268.69,116.2,2.908,1.228,0.009642,0.2801,9,0.36,69.1,4.6,8.0,5.565,40.793,4.5970,7.9563,5.5654,40.7927,0,0.8942
RF.b_2465,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,32.34,18.45,15.75,918.06,900.57,1.753,1.171,0.026632,0.487,19,0.38,71.8,3.9,5.6,5.345,43.215,3.9062,5.6327,5.3453,43.2150,0,0.9015
RF.b_2477,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,35.92,12.88,7.43,555.85,265.43,2.789,1.733,0.005726,0.2069,7,0.32,67.3,3.4,7.1,7.631,72.395,3.3709,7.0783,7.6309,72.3953,0,0.8958
RF.b_2481,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,23.49,9.69,6.24,257.4,98.18,2.424,1.554,0.007579,0.2655,6,0.35,69.8,4.9,8.9,5.956,45.191,4.8949,8.9377,5.9560,45.1915,0,0.8297
RF.b_2490,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,40.23,13.36,11.86,833.73,675.51,3.011,1.126,0.010379,0.2949,8,0.39,72.7,4.3,5.2,3.94,23.415,4.3040,5.2345,3.9401,23.4147,0,0.9125
RF.b_2498,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,36.11,14.45,5.81,676.75,592.92,2.499,2.489,0.012592,0.1608,11,0.37,68.2,3.9,5.8,5.759,49.081,3.8937,5.7861,5.7590,49.0806,0,0.9499
RF.b_25,Tool,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,49.33,33.52,27.43,1837.71,2372.13,1.472,1.222,0.019763,0.556,18,0.13,58.5,7.0,6.3,2.812,17.656,7.0230,6.2893,2.8120,17.6565,0,0.977
RF.b_2521,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,37.81,13.95,13.58,421.16,252.87,2.71,1.027,0.004679,0.3593,4,0.46,74.8,4.1,7.0,5.061,37.484,4.1067,6.9666,5.0610,37.4841,0,0.7726
RF.b_2602,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,35.26,17.03,4.0,547.91,338.96,2.071,4.257,0.00773,0.1134,3,0.34,73.7,4.8,6.5,5.398,44.02,4.8193,6.4977,5.3980,44.0201,0,0.8815
RF.b_2727,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,36.41,17.77,7.47,664.51,491.16,2.049,2.377,0.010175,0.2053,11,0.31,73.9,5.1,6.9,5.0,40.998,5.1380,6.9220,4.9998,40.9980,0,0.8634
RF.b_278,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,53.97,53.51,33.74,2822.26,7346.21,1.009,1.586,0.046719,0.6251,28,0.24,64.9,4.1,4.6,4.452,39.473,4.0642,4.6257,4.4519,39.4728,0,0.9434
RF.b_284,Core,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,42.52,33.28,31.73,2206.84,5447.66,1.278,1.049,0.070844,0.7461,51,0.11,70.8,6.0,7.8,4.435,35.718,5.9872,7.7809,4.4354,35.7175,5,1.0025
