ID,Site,Stratigraphic_unit,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RF.b_6617,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,302.3623352,436.287665,33.2,7.1,2.6,RF.b_6617.ply,1 unit = 1mm,38578,0.171348,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6626,Fumane,D3b,Maiolica,Blank,Blade,Semi-cortical,NA,1-33%,Complete,2536.067383,2385.089504,81,16.6,4,RF.b_6626.ply,1 unit = 1mm,617312,0.100936,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6650,Fumane,D3b,Maiolica,Blank,Bladelet,Maintenance,NA,0%,Complete,387.6907654,559.4625418,28.5,11.5,2.5,RF.b_6650.ply,1 unit = 1mm,49278,0.171044,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6652,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,324.8052368,474.7356626,28,9.1,2.7,RF.b_6652.ply,1 unit = 1mm,43212,0.16841,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6653,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,149.8477631,301.9246417,21,9.2,1.2,RF.b_6653.ply,1 unit = 1mm,27880,0.167572,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6654,Fumane,D3b,Maiolica,Blank,Blade,Optimal,NA,0%,Complete,1315.322754,1143.041013,43.3,15.5,6.5,RF.b_6654.ply,1 unit = 1mm,301924,0.100437,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6684,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,106.7044449,207.9325878,19,6,2.2,RF.b_6684.ply,1 unit = 1mm,18274,0.17139,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6720,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,453.8378601,643.237815,36,8.8,2.5,RF.b_6720.ply,1 unit = 1mm,60092,0.166098,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6725,Fumane,D3b,Maiolica,Blank,Bladelet,Maintenance,NA,0%,Complete,43.35522461,109.7767583,16.9,3.4,1.2,RF.b_6725.ply,1 unit = 1mm,9766,0.17054,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6726,Fumane,D3b,Maiolica,Blank,Blade,Optimal,NA,0%,Proximal,1587.777344,1878.274339,57,20.5,3.9,RF.b_6726.ply,1 unit = 1mm,400000,0.110078,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6735,Fumane,D3b,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,113.8281784,234.5468281,19.2,8.8,1.7,RF.b_6735.ply,1 unit = 1mm,21274,0.168342,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6838,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Proximal,934.8469238,954.8211682,41.7,9.5,4.1,RF.b_6838.ply,1 unit = 1mm,84604,0.170206,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6849,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,86.68902588,193.7645738,18.1,6.5,1.5,RF.b_6849.ply,1 unit = 1mm,15996,0.175992,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6853,Fumane,D3d.base,Maiolica,Blank,Blade,Optimal,NA,0%,Proximal,1902.186035,2240.607997,63,26.6,3.5,RF.b_6853.ply,1 unit = 1mm,400000,0.119979,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6857,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,228.4682465,374.1162212,25.1,9,2.1,RF.b_6857.ply,1 unit = 1mm,35066,0.166398,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_6863,Fumane,D3d.base,Maiolica,Blank,Blade,Maintenance,NA,0%,Proximal,3530.104492,2478.78477,62.5,23,6.4,RF.b_6863.ply,1 unit = 1mm,400000,0.126085,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6881,Fumane,D3d.base,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,2062.244385,1476.577779,46.3,16.3,7.2,RF.b_6881.ply,1 unit = 1mm,368064,0.102946,Detailed,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_6882,Fumane,D3d.base,Maiolica,Blank,Bladelet,Optimal,NA,0%,Complete,160.7312469,319.0847638,28.5,6.8,2.6,RF.b_6882.ply,1 unit = 1mm,29218,0.168076,Low-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
RF.b_689,Fumane,A1,Scaglia.Variegata,Blank,Blade,Optimal,NA,0%,Complete,6541.250977,4439.37682,92.3,29.2,7.7,RF.b_689.ply,1 unit = 1mm,400000,0.170372,Low-detail,Artec.Spider-1,Artec Studio Professional v.15.0,Artec Studio Professional v.15.0,No
RF.b_691,Fumane,A2,Maiolica,Blank,Blade,Maintenance,NA,0%,Complete,603.1688232,789.8607978,40.1,13.1,2.6,RF.b_691.ply,1 unit = 1mm,73136,0.166861,Moderate-detail,"Micro-CT (Phoenix v-tome-x s, General Electronics)",Phoenix Datos-X software,Avizo Lite v.9.2; Artec Studio Professional v.15.0,No
