ID,Scanner,Unit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
RF.b_5175,Micro-CT,A2,Scaglia.Variegata,Blank,Blade,Optimal,0%,Complete,695.7091064,850.1999052,39.1,12.5,2.8,NA
RF.b_5176,Micro-CT,A2,Scaglia.Rossa,Blank,Bladelet,Maintenance,1-33%,Complete,383.3549805,512.7841441,39,5.2,3.5,NA
RF.b_5178,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,1137.789917,1116.831124,47.7,12.1,6.5,NA
RF.b_5180,Micro-CT,A2,Scaglia.Rossa,Blank,Blade,Optimal,0%,Complete,868.8791504,1021.492561,39.8,14.3,3.3,NA
RF.b_5181,Micro-CT,A2,Maiolica,Blank,Bladelet,Maintenance,0%,Complete,563.9356079,727.5897956,42.3,10.1,4.1,NA
RF.b_5185,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1679.073608,1312.259059,49.9,12.8,5.4,NA
RF.b_5187,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,3490.004883,2520.383562,62.1,23,7,NA
RF.b_5194,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,33-66%,Complete,4064.766357,2553.633912,58.4,22.7,8,NA
RF.b_5195,Micro-CT,A2,Scaglia.Rossa,Blank,Bladelet,Optimal,0%,Complete,482.5635071,658.6348882,39.4,9.6,2.8,NA
RF.b_5199,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,0%,Complete,211.4329834,439.2355407,30.6,7.6,1.5,NA
RF.b_5202,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,925.5897217,1113.571782,48.6,14.4,2.7,NA
RF.b_5204,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,444.0677795,713.7110005,37.1,11.4,2.2,NA
RF.b_5207,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,33-66%,Complete,7351.072754,3370.871159,68.3,26,10,NA
RF.b_5209,Artec.Spider,A2,Maiolica,Blank,Blade,Semi-cortical,33-66%,Complete,2153.94043,1878.957484,56,19.7,6,NA
RF.b_5210,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,809.0708618,874.6981261,39,12.2,3.4,NA
